alert_id,transaction_id,customer_id,alert_type,alert_timestamp,analyst_id,analyst_decision,decision_timestamp,time_to_decision_hours,notes,false_positive
ALERT_3F97C3CBD6,TX_01BEE9DBC59C,CUST_14B48CBF,"large_transaction, high_risk_customer",2023-07-25 09:31:09,Michael Rodriguez,escalate,2023-07-28 08:31:09,71,Risk score 0.606 reviewed. escalate,False
ALERT_38BF7AD66F,TX_8D0BD5D4452E,CUST_538B2855,"high_risk_merchant, high_risk_customer",2022-04-11 00:38:41,Robert Johnson,approve_with_monitoring,2022-04-11 03:38:41,3,Customer verification completed. Amount $1575.55 - approve with monitoring,False
ALERT_5E453B098E,TX_08C17B76B58C,CUST_5D82253B,"critical_high_risk, large_transaction",2025-07-23 23:06:32,William Taylor,deny,2025-07-24 08:06:32,9,Risk score 0.919 reviewed. deny,False
ALERT_FE71CFADCC,TX_A3DF225DC8EF,CUST_FB41A075,"critical_high_risk, large_transaction",2023-05-03 18:50:06,James Wilson,escalate,2023-05-04 05:50:06,11,"Location check performed: Lagos, Nigeria. escalate",False
ALERT_2A914432A7,TX_D5D545016CA5,CUST_BBF93682,"critical_high_risk, high_risk_merchant",2024-11-20 01:45:36,James Wilson,escalate,2024-11-20 10:45:36,9,Reviewed transaction for Wire Transfer - escalate,False
ALERT_E8A0E9625C,TX_10658D623799,CUST_30994C32,"large_transaction, high_risk_customer",2022-12-18 06:52:08,Robert Johnson,approve_with_monitoring,2022-12-20 02:52:08,44,Customer verification completed. Amount $87806.51 - approve with monitoring,False
ALERT_49AA9BC038,TX_DCCF674307FC,CUST_B996B105,"large_transaction, high_risk_merchant",2024-02-04 00:30:04,James Wilson,approve_with_monitoring,2024-02-06 21:30:04,69,Reviewed transaction for Money Transfer - approve with monitoring,False
ALERT_7C9937F67C,TX_2E4586BA2F47,CUST_B4FBF75E,"high_risk_customer, geographic_risk",2022-01-03 19:11:54,James Wilson,approve,2022-01-04 20:11:54,25,Reviewed transaction for Gas Station - approve,False
ALERT_12D7962905,TX_BFAF39D61607,CUST_4AE376A7,"critical_high_risk, high_risk_merchant",2023-10-27 03:02:31,Sarah Chen,approve_with_monitoring,2023-10-27 05:02:31,2,Risk score 0.840 reviewed. approve with monitoring,False
ALERT_1B796538F5,TX_84730D0587E2,CUST_9C26604D,general_risk_alert,2025-06-16 00:18:57,Lisa Anderson,approve_with_monitoring,2025-06-17 17:18:57,41,Risk score 0.608 reviewed. approve with monitoring,False
ALERT_4E3D3941FC,TX_641E55E016C4,CUST_1C0C6419,"high_risk_merchant, high_risk_customer",2022-12-11 03:41:50,James Wilson,escalate,2022-12-12 22:41:50,43,Risk score 0.795 reviewed. escalate,False
ALERT_6E92B1DAFA,TX_9AA455F4B729,CUST_BBF93682,"high_risk_merchant, high_risk_customer",2022-04-02 22:03:48,Maria Garcia,approve_with_monitoring,2022-04-05 16:03:48,66,Customer verification completed. Amount $1764.38 - approve with monitoring,False
ALERT_E31E3511BB,TX_4A0E5DB116C7,CUST_70286A15,"critical_high_risk, large_transaction",2024-01-08 18:38:45,Emily Thompson,deny,2024-01-08 18:38:45,0,Reviewed transaction for Wire Transfer - deny,False
ALERT_FC7C717C71,TX_A99E789332EC,CUST_6CED6AC2,"large_transaction, high_risk_customer",2022-07-31 07:23:45,Lisa Anderson,approve,2022-07-31 09:23:45,2,Customer verification completed. Amount $90866.00 - approve,True
ALERT_659FCAFBE9,TX_0E0D39A4EE05,CUST_8B253B16,"critical_high_risk, large_transaction",2025-04-12 03:39:34,Emily Thompson,deny,2025-04-12 11:39:34,8,Reviewed transaction for Travel - deny,False
ALERT_3F6BAC713A,TX_102E205E7B0D,CUST_FACE6780,"critical_high_risk, high_risk_merchant",2023-06-24 07:53:47,James Wilson,deny,2023-06-24 10:53:47,3,Risk score 0.938 reviewed. deny,False
ALERT_C12F9A0C07,TX_E80F4CCAB61E,CUST_122DBDA9,"critical_high_risk, large_transaction",2022-12-09 04:59:07,Maria Garcia,approve_with_monitoring,2022-12-09 08:59:07,4,"Location check performed: Chicago, IL. approve with monitoring",False
ALERT_1E2AB9815D,TX_CB3F76A0B960,CUST_FB41A075,"large_transaction, high_risk_customer",2022-01-13 15:42:20,James Wilson,deny,2022-01-15 13:42:20,46,Reviewed transaction for Grocery - deny,False
ALERT_8EF3EA353A,TX_921D6DA5CCFA,CUST_E630CBB6,"critical_high_risk, high_risk_customer",2022-10-24 01:10:07,Jessica Martinez,deny,2022-10-24 09:10:07,8,Risk score 0.849 reviewed. deny,False
ALERT_B585B7EBB4,TX_DF71E76AEB5B,CUST_69BE72D9,"high_risk_merchant, high_risk_customer",2025-02-23 14:25:19,Maria Garcia,approve,2025-02-25 20:25:19,54,Risk score 0.685 reviewed. approve,False
ALERT_780521D62C,TX_790B1AEA0524,CUST_6F427D02,"high_risk_merchant, high_risk_customer",2024-01-24 11:07:10,Michael Rodriguez,approve_with_monitoring,2024-01-25 00:07:10,13,"Location check performed: San Jose, CA. approve with monitoring",False
ALERT_1BABDC44F4,TX_D5D848E867E7,CUST_9FDBF764,"high_risk_merchant, high_risk_customer",2023-08-17 16:39:54,Robert Johnson,approve_with_monitoring,2023-08-19 04:39:54,36,Reviewed transaction for Wire Transfer - approve with monitoring,False
ALERT_34AF694C99,TX_A6A7699D5617,CUST_0054135E,"high_risk_merchant, high_risk_customer",2023-09-04 10:48:16,Sarah Chen,approve,2023-09-07 04:48:16,66,Customer verification completed. Amount $4716.27 - approve,True
ALERT_6925CFD66F,TX_BDB2940B69F9,CUST_61EC9F7B,general_risk_alert,2023-12-30 03:08:49,James Wilson,approve,2023-12-30 22:08:49,19,"Location check performed: Austin, TX. approve",False
ALERT_8674F268B5,TX_5B5D98DA9F51,CUST_28C05FB8,"critical_high_risk, large_transaction",2025-05-15 05:59:16,William Taylor,deny,2025-05-15 15:59:16,10,Reviewed transaction for Money Transfer - deny,False
ALERT_2833658BC0,TX_E02306525473,CUST_C6523C71,large_transaction,2022-06-06 05:06:08,Robert Johnson,approve_with_monitoring,2022-06-08 05:06:08,48,Reviewed transaction for Grocery - approve with monitoring,False
ALERT_D71DE98187,TX_6E9F66C935C3,CUST_BA91A0F7,high_risk_customer,2023-04-28 22:22:44,Lisa Anderson,approve,2023-04-29 11:22:44,13,"Location check performed: Chicago, IL. approve",False
ALERT_EDEAF3113C,TX_C52CA2ADB9F9,CUST_BA8401CF,"high_risk_customer, geographic_risk",2025-06-22 19:16:44,Jessica Martinez,approve_with_monitoring,2025-06-24 00:16:44,29,Reviewed transaction for Grocery - approve with monitoring,False
ALERT_404C89045E,TX_8D7E1DC98713,CUST_A6E105FD,"critical_high_risk, large_transaction",2024-03-05 23:16:15,Emily Thompson,deny,2024-03-06 01:16:15,2,Risk score 1.000 reviewed. deny,False
ALERT_6C12BA1FC2,TX_39505C670EFD,CUST_6A46EA61,large_transaction,2023-04-05 22:54:10,Maria Garcia,approve_with_monitoring,2023-04-07 14:54:10,40,Reviewed transaction for Travel - approve with monitoring,False
ALERT_604E6200A6,TX_9384C201E6CB,CUST_D76CE945,"critical_high_risk, large_transaction",2022-07-17 00:20:40,Robert Johnson,SAR_filed,2022-07-17 05:20:40,5,Customer verification completed. Amount $82865.18 - SAR filed - Suspicious Activity Report filed with FinCEN,False
ALERT_89A2EDE6F2,TX_8BBB34B5C328,CUST_0054135E,"critical_high_risk, large_transaction",2024-06-07 17:19:49,Michael Rodriguez,escalate,2024-06-07 17:19:49,0,Risk score 0.943 reviewed. escalate,False
ALERT_C4F07E9CC7,TX_30F69A0952EA,CUST_53C8C5D0,high_risk_customer,2022-08-15 11:37:26,Emily Thompson,approve,2022-08-16 04:37:26,17,Reviewed transaction for Gambling - approve,True
ALERT_F7986DFA5B,TX_5F88EFAFDE11,CUST_6B418019,high_risk_merchant,2022-11-05 22:25:24,Emily Thompson,approve,2022-11-07 03:25:24,29,"Location check performed: Seattle, WA. approve",True
ALERT_845A686B1C,TX_8F22E57F99E3,CUST_9D6A3A24,"critical_high_risk, large_transaction",2022-10-07 18:55:38,David Kim,deny,2022-10-08 00:55:38,6,Risk score 0.813 reviewed. deny,False
ALERT_ABEE110B73,TX_BDC19751D453,CUST_1C035B46,"critical_high_risk, high_risk_merchant",2024-12-29 00:16:18,Sarah Chen,approve_with_monitoring,2024-12-29 12:16:18,12,Reviewed transaction for Money Transfer - approve with monitoring,False
ALERT_2B5BADF72A,TX_E5E1441B653B,CUST_814DC7C4,"critical_high_risk, high_risk_merchant",2022-03-06 05:25:08,Emily Thompson,approve_with_monitoring,2022-03-06 16:25:08,11,Reviewed transaction for Money Transfer - approve with monitoring,False
ALERT_00C51529D6,TX_F2F89EC42A59,CUST_6F427D02,"high_risk_merchant, high_risk_customer",2023-07-09 17:53:16,James Wilson,approve,2023-07-10 08:53:16,15,Customer verification completed. Amount $611.44 - approve,False
ALERT_A4DB0C5DD3,TX_FFBC969AEF3F,CUST_18EF1612,"large_transaction, high_risk_customer",2025-01-02 20:34:46,Maria Garcia,deny,2025-01-03 05:34:46,9,Risk score 0.717 reviewed. deny,False
ALERT_70DC5BA4CE,TX_392ED78C00E4,CUST_47B59477,"critical_high_risk, large_transaction",2025-02-14 02:22:50,David Kim,approve_with_monitoring,2025-02-14 03:22:50,1,"Location check performed: Seattle, WA. approve with monitoring",False
ALERT_E294EF631E,TX_94C3B90C2699,CUST_760A8C60,"high_risk_merchant, high_risk_customer",2023-08-23 08:55:24,Sarah Chen,approve,2023-08-25 18:55:24,58,Risk score 0.618 reviewed. approve,False
ALERT_6791F89329,TX_BDA8BD672429,CUST_6B31F674,"critical_high_risk, large_transaction",2022-11-24 16:25:33,Robert Johnson,SAR_filed,2022-11-24 22:25:33,6,Risk score 0.950 reviewed. SAR filed - Suspicious Activity Report filed with FinCEN,False
ALERT_798887C3C0,TX_2E3EA1D69738,CUST_01CEB8E2,"critical_high_risk, large_transaction",2022-09-15 18:30:19,Michael Rodriguez,escalate,2022-09-16 06:30:19,12,Reviewed transaction for Healthcare - escalate,False
ALERT_7279262436,TX_7882C36E7DFB,CUST_1909749C,"large_transaction, high_risk_merchant",2023-08-21 14:42:15,David Kim,approve_with_monitoring,2023-08-24 03:42:15,61,Customer verification completed. Amount $10014.68 - approve with monitoring,False
ALERT_02C4EAA5A6,TX_CDF66B4771C3,CUST_6ED66F10,"large_transaction, high_risk_customer",2025-10-22 19:02:42,David Kim,approve_with_monitoring,2025-10-24 03:02:42,32,Customer verification completed. Amount $55725.23 - approve with monitoring,False
