transaction_id,customer_id,timestamp,amount,merchant_category,location,device_type,risk_score,flagged_for_review
TX_347AEAF50E2E,CUST_90E339F0,2023-12-27 03:49:59,465.64,Wire Transfer,"Philadelphia, PA",Tablet - iOS,0.478,False
TX_0D87B48F38FC,CUST_FA91A2FD,2025-05-23 13:44:40,290.21,Wire Transfer,"Fort Worth, TX",Web Browser,0.25,False
TX_8E6ABC0E8A0E,CUST_7BF19317,2025-06-06 13:01:17,458.53,Insurance,"Phoenix, AZ",Mobile - Android,0.089,False
TX_2AA6841E1116,CUST_5066A278,2025-02-22 10:06:24,2944.62,Jewelry,"Denver, CO",Desktop - Mac,0.265,False
TX_55A8EA8BA6B9,CUST_EA245C50,2023-07-18 17:34:08,19514.92,Healthcare,"Dallas, TX",Web Browser,0.48,False
TX_7457683C7D80,CUST_5BE54B52,2024-10-24 07:39:02,881.53,Online Shopping,"Dallas, TX",POS Terminal,0.096,False
TX_5AB8BFD83556,CUST_0D7D02CE,2024-12-15 14:38:36,77.47,Retail,"Boston, MA",Mobile - Android,0.018,False
TX_AF9041B7EDE8,CUST_CDBCEF00,2023-03-16 03:37:57,759.12,Healthcare,"Jacksonville, FL",Desktop - Windows,0.35,False
TX_8B693AA4EA2F,CUST_86EB0EC3,2023-02-23 22:26:06,240.32,ATM Withdrawal,"Columbus, OH",Mobile - iOS,0.218,False
TX_A28630F0864F,CUST_2C1FBDF2,2022-03-31 08:20:35,515.93,Wire Transfer,"Austin, TX",Mobile - iOS,0.382,False
TX_01BEE9DBC59C,CUST_14B48CBF,2023-07-25 09:31:09,65465.17,Restaurant,"San Antonio, TX",Tablet - iOS,0.606,True
TX_165783264A77,CUST_C1321D6F,2024-05-02 12:54:04,3727.64,Gas Station,"Caracas, Venezuela",Web Browser,0.415,False
TX_1C2B537080E1,CUST_18B55A37,2025-07-15 01:34:34,956.86,Retail,"Fort Worth, TX",ATM,0.317,False
TX_5C6DC5E6D79D,CUST_1635D474,2022-07-18 08:05:28,278.16,Foreign Transaction,"Houston, TX",Desktop - Mac,0.168,False
TX_A9820DF40CFE,CUST_CE83DBBE,2023-01-14 12:40:24,947.71,Money Transfer,"Columbus, OH",Web Browser,0.323,False
TX_5317E97EA089,CUST_8A297DE5,2023-05-25 22:37:25,699.51,Money Transfer,"San Francisco, CA",Tablet - iOS,0.536,False
TX_C6F376FC508A,CUST_3B0A9A9D,2025-03-07 09:44:57,868.06,Electronics,"Austin, TX",Tablet - iOS,0.196,False
TX_B092CB570132,CUST_8736B667,2025-09-13 01:07:07,617.56,Travel,"Los Angeles, CA",ATM,0.349,False
TX_FA0B694BF1EE,CUST_5781F288,2024-02-21 22:02:22,122.25,ATM Withdrawal,"Chicago, IL",POS Terminal,0.287,False
